id,first_name,last_name,email,car_make,car_model,vin,manufactured_date,age_of_vehicle
30,Jane,Smith,jane@example.com,Ford,Focus,1FAHP3F26CL123456,2017-03-10,8
32,gayan,Pamunuwa,gayan@gmail.com,Toyota,Frog,WERT567UI,2019-06-08,6
47,Yehani,silva,silva@gmail.com,uiii,pop,pop000,2021-01-01,4
48,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
49,Jane,Smith,jane@example.com,Ford,Focus,1FAHP3F26CL123456,2017-03-10,8
50,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
51,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
52,Jane,Smith,jane@example.com,Ford,Focus,1FAHP3F26CL123456,2017-03-10,8
53,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
54,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
55,Jane,Smith,jane@example.com,Ford,Focus,1FAHP3F26CL123456,2017-03-10,8
56,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
57,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
58,Jane,Smith,jane@example.com,Ford,Focus,1FAHP3F26CL123456,2017-03-10,8
59,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
60,John,Doe,john@example.com,Toyota,Corolla,1HGCM82633A123456,2015-06-01,10
61,Jane,Smith,jane@example.com,Ford,Focus,1FAHP3F26CL123456,2017-03-10,8
62,Bob,Brown,bob@example.com,Honda,Civic,2HGES16555H123456,2012-11-15,13
